"Name","SKU","RegularPrice","Description","ShortDescription","Categories"
"Raw Silk Pants","K-1-26-333-B-A1-VG_MULTI","4500","<p>Fresh from the new-in edit — Raw Silk Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Short Mustard Kurta","K-1-26-333-A-A1-VG_MULTI","5500","<p>Fresh from the new-in edit — Short Mustard Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Floral Navy Pants","K-1-26-333-B-B1-VG_MULTI","4000","<p>Fresh from the new-in edit — Floral Navy Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Floral Longline Kurta","K-1-26-333-A-B1-VG_MULTI","5500","<p>Fresh from the new-in edit — Floral Longline Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Raw Silk Pants","K-1-26-333-B-C1-VG_MULTI","4000","<p>Fresh from the new-in edit — Raw Silk Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Floral Silk Kurta","K-1-26-333-A-C1-VG_MULTI","5500","<p>Fresh from the new-in edit — Floral Silk Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Silk Printed Pants","K-1-26-333-B-D1-VG_MULTI","4000","<p>Fresh from the new-in edit — Silk Printed Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Floral Silk Kurta","K-1-26-333-A-D1-VG_MULTI","5000","<p>Fresh from the new-in edit — Floral Silk Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Beige Floral Pants","K-1-26-333-B-H1-VG_MULTI","4000","<p>Fresh from the new-in edit — Beige Floral Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Floral Longline Kurta","K-1-26-333-A-H1-VG_MULTI","5000","<p>Fresh from the new-in edit — Floral Longline Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Floral Silk Shalwar","K-1-26-333-B-I1-VG_MULTI","4000","<p>Fresh from the new-in edit — Floral Silk Shalwar. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Floral Red Kurta","K-1-26-333-A-I1-VG_MULTI","5000","<p>Fresh from the new-in edit — Floral Red Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Solid Navy Pants","K-1-26-310-B-A1-VG_MULTI","3500","<p>Fresh from the new-in edit — Solid Navy Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Long Cambric Kurta","K-1-26-310-A-A1-VG_MULTI","4500","<p>Fresh from the new-in edit — Long Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
"Black Cambric Pants","K-1-26-310-B-B1-VG_MULTI","3500","<p>Fresh from the new-in edit — Black Cambric Pants. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Pants and Trousers"
"Printed Cambric Kurta","K-1-26-310-A-B1-VG_MULTI","4500","<p>Fresh from the new-in edit — Printed Cambric Kurta. (Demo import; images are reference media from pk.khaadi.com and should be replaced with the client's own photography before production.)</p>
","<p>New season ready-to-wear from Khaadi.</p>
","Kurtas"
